Unnamed: 0,pregunta,tokens
0,Qué son las emociones?,['emocion']
1,Como surgen las emociones?,"['surg', 'emocion']"
2,Por qué sentimos miedo o felicidad?,"['sent', 'mied', 'felic']"
3,Por qué sentimos miedo?,"['sent', 'mied']"
4,Por qué sentimos felicidad?,"['sent', 'felic']"
5,Qué pasa en nuestro cuerpo cuando estamos enojados?,"['pas', 'cuerp', 'enoj']"
6,Por qué a veces no podemos controlar nuestras emociones?,"['vec', 'pod', 'control', 'emocion']"
7,Qué son los estímulos?,['estimul']
8,Como afectan los estímulos a nuestra conducta?,"['afect', 'estimul', 'conduct']"
9,Por qué a veces sobrepensamos las cosas?,"['vec', 'sobrepens', 'cos']"
10,Qué es el sobrepensamiento y cómo nos afecta?,"['sobrepens', 'com', 'afect']"
11,Qué es la subjetividad?,['subjet']
12,Por qué dos personas pueden ver la misma situación de forma diferente?,"['dos', 'person', 'pued', 'ver', 'mism', 'situacion', 'form', 'diferent']"
13,Qué son las perspectivas y cómo influyen en nuestras decisiones?,"['perspect', 'com', 'influ', 'decision']"
14,Por qué algunas personas actúan de manera impulsiva?,"['person', 'actu', 'maner', 'impuls']"
15,Qué factores influyen en la impulsividad?,"['factor', 'influ', 'impuls']"
16,Como el entorno afecta nuestra forma de actuar?,"['entorn', 'afect', 'form', 'actu']"
17,Qué son los hábitos?,['habit']
18,Como podemos cambiar un hábito?,"['pod', 'cambi', 'habit']"
19,Qué papel juega la motivación en el cambio de hábitos?,"['papel', 'jueg', 'motiv', 'cambi', 'habit']"
20,Como afecta la adicción a nuestra vida diaria?,"['afect', 'adiccion', 'vid', 'diari']"
21,Por qué las personas caen en hábitos destructivos?,"['person', 'caen', 'habit', 'destruct']"
22,Qué es la procrastinación y cómo nos afecta?,"['procrastin', 'com', 'afect']"
23,Por qué las emociones pueden ser tan difíciles de expresar?,"['emocion', 'pued', 'ser', 'tan', 'dificil', 'expres']"
24,Qué es la ansiedad?,['ansied']
25,Cómo se relacionan las emociones y los pensamientos?,"['com', 'relacion', 'emocion', 'pensamient']"
26,Qué es la empatía?,['empat']
27,Por qué es importante la autocompasión?,"['import', 'autocompasion']"
28,Cómo afectan los traumas pasados a nuestra percepción actual?,"['com', 'afect', 'traum', 'pas', 'percepcion', 'actual']"
29,Qué es el estrés?,['estres']
30,Por qué las personas tienen diferentes umbrales de tolerancia al estrés?,"['person', 'diferent', 'umbral', 'toler', 'estres']"
31,Qué es la resiliencia?,['resilient']
32,Cómo afectan las redes sociales a nuestras emociones?,"['com', 'afect', 'red', 'social', 'emocion']"
33,Por qué es importante tener una red de apoyo emocional?,"['import', 'ten', 'red', 'apoy', 'emocional']"
34,Qué es la frustración?,['frustracion']
35,Cómo podemos manejar la frustración de manera saludable?,"['com', 'pod', 'manej', 'frustracion', 'maner', 'salud']"
36,Por qué algunas personas tienen más facilidad para controlar sus emociones?,"['person', 'facil', 'control', 'emocion']"
37,Qué es la inteligencia emocional?,"['inteligent', 'emocional']"
38,Cómo se puede mejorar la inteligencia emocional?,"['com', 'pued', 'mejor', 'inteligent', 'emocional']"
39,Qué son los pensamientos automáticos?,"['pensamient', 'automat']"
40,Por qué los pensamientos negativos afectan nuestra salud mental?,"['pensamient', 'negat', 'afect', 'salud', 'mental']"
41,Cómo el pensamiento positivo impacta en nuestra vida diaria?,"['com', 'pensamient', 'posit', 'impact', 'vid', 'diari']"
42,Por qué a veces no vemos las cosas desde una perspectiva objetiva?,"['vec', 'vem', 'cos', 'perspect', 'objet']"
43,Qué son las creencias limitantes?,"['creenci', 'limit']"
44,Por qué a veces la mente nos juega trucos y distorsiona la realidad?,"['vec', 'ment', 'jueg', 'truc', 'distorsion', 'realid']"
45,Cómo podemos superar los pensamientos limitantes?,"['com', 'pod', 'super', 'pensamient', 'limit']"
46,Qué es la autoaceptación?,['autoacept']
47,Por qué es difícil cambiar de hábitos?,"['dificil', 'cambi', 'habit']"
48,Cómo afectan las adicciones a nuestra salud mental?,"['com', 'afect', 'adiccion', 'salud', 'mental']"
49,Qué es el autocuidado y por qué es importante?,"['autocuid', 'import']"
50,Por qué algunas personas tienen más dificultades para adaptarse a los cambios?,"['person', 'dificultad', 'adapt', 'cambi']"
51,Qué es la autorregulación emocional?,"['autorregul', 'emocional']"
